knot,variant,memory_word,residual_energy,curvature_mean,torsion_abs_mean,scar_fraction,distance_to_base
unknot,base,K K K H K K K K K K K K K K K K K H K K K K K K K K,0.45289212169829945,0.9983333293400137,0.0,0.17888888888888888,0
unknot,deform_00,R+ R+ K K K K K H H H R- R- R+ K K H R- R+ H K K K K R- H H,0.6437483726509732,1.2850990967139801,2.1230514017200983,0.33,16
unknot,deform_01,K K K H K R+ R+ R+ R- K K R- R- R+ R+ K H K K R+ R+ R- H H R+ R-,0.4782813845235988,1.087773992859996,0.13594714839558253,0.3111111111111111,16
unknot,deform_02,H H H K K H K K K K R+ R+ R+ K H H K K H K R+ K K R- R- R-,0.6796298440653854,1.0999043955776524,0.9090279780214571,0.33,14
unknot,deform_03,H H R+ R- K M R- K K K K K R- M R+ R+ R+ R+ R- R- K K K K K H,0.45995134986968905,1.3631705402374175,2.220760013259336,0.2966666666666667,15
unknot,deform_04,R- H H K H R- R- K K R- K K R+ K K K R- H R+ K K R- R+ R+ R+ R-,0.4305160652819278,1.3429207948217008,2.441205030125538,0.3188888888888889,15
unknot,deform_05,R+ K K K K R- R+ R+ R+ K R- R- K R+ H K K H H H R+ R- K K R- H,0.5729851975967095,1.446129945845207,2.361363473450854,0.33,16
trefoil,base,H R+ K H R- K K K K K K K R+ R+ K R+ K K R+ K K R- K H S H,0.49332899321505463,1.5314503550545808,0.48484432724212884,0.33,0
trefoil,deform_00,H R+ K H R- K K K K K R+ R+ R+ K K R+ K K R+ K K R- R+ H S H,0.49497558174477596,1.5948092482716574,0.5076747789758452,0.33,4
trefoil,deform_01,H K K H K K K R- R- R+ R+ K K R+ R+ R+ K K K K K K R+ R+ R+ R-,0.5655038233943896,1.6297752899261362,0.608985982432555,0.3188888888888889,13
trefoil,deform_02,H K K K R- R+ K R- K K K K R+ R+ K K K K R- R- R- R- K H R+ R-,0.5515853398156532,1.5762756226555952,0.4998924102078166,0.33,10
trefoil,deform_03,H K K R- K K K R- K R+ K K R+ R+ K R+ K K K K K R- R+ H S R-,0.5257187343039803,1.589933381773427,0.5288765172922612,0.33,7
trefoil,deform_04,H R+ K H R- R+ R- K K K R+ R+ K K K R+ K K R+ K K K R+ R+ S H,0.5926200912724077,1.62811665531508,0.4713264258540639,0.33,9
trefoil,deform_05,H R+ K K R- R+ R- R- K K R- R+ R+ K K R+ K K K K K R- K H H H,0.5788564591082058,1.7347381023723938,0.5591136232217729,0.33,9
figure_eight_like,base,R+ S R- R+ K K K H K R- R- R- M R+ R+ R+ R+ K K K K K R- S R+ R+,0.6110332876603296,1.5978423959196684,0.6467124146706722,0.27,0
figure_eight_like,deform_00,R+ R- R- M K K K H K R- R- R- R+ R+ R+ R+ R+ K K K K K R- R+ R+ R-,0.5885982117942492,1.703641659435708,0.7022514529534073,0.26222222222222225,5
figure_eight_like,deform_01,R+ R- R- R- K K K H K R- R- R- R- R+ R+ R+ R+ K K K K K R- R+ R+ R-,0.6755461850273057,1.6379406601204962,0.6407104397844683,0.26555555555555554,5
figure_eight_like,deform_02,M R- R- R- K K K H K R- R- R- M R+ R+ R+ R+ K K K K K R- S R+ R-,0.6717199697422486,1.6543291412216206,0.677843701221606,0.27111111111111114,4
figure_eight_like,deform_03,R+ R- R- M K K K H K R- R- R- R+ R+ R+ R+ R+ K K K K K R- R+ S S,0.636974387190903,1.7803402149337981,0.7227884737134874,0.27,6
figure_eight_like,deform_04,R+ R- R- R- K K K K K R- R- R- R- R+ R+ R+ R+ K K K K K R- R+ R+ R-,0.6326872661995506,1.674857632136514,0.6489364798129149,0.27555555555555555,6
figure_eight_like,deform_05,R+ R- R- R+ K K K K K R- R- R- R+ R+ R+ R+ K K K K K K R+ R+ S R-,0.5777557842357399,1.804031422889878,0.7328898724194587,0.2788888888888889,7
torus_2_5,base,R- H H H R- R+ K K K R+ R+ K K K K R- H K K H R+ R- H H H R+,0.5655407393732911,2.080583410155456,2.0686497928407186,0.33,0
torus_2_5,deform_00,K H H H R- K K K R+ R+ R+ R- K K R+ R- R- K K H R+ K H H R+ R+,0.5074330584779875,2.2170923643239755,2.200779449691194,0.3055555555555556,8
torus_2_5,deform_01,R- H H H R- R+ R- K K R+ R+ R- K K R+ R- R- K K H R+ K H H H R+,0.5611122096352313,2.2636955635192315,2.260985269392011,0.27555555555555555,5
torus_2_5,deform_02,R- R- H H R- R+ K K K K R+ K K K K R- H K K H R+ R- H H R+ R+,0.5774448455384605,2.0936578686886644,2.1019410250232107,0.31666666666666665,3
torus_2_5,deform_03,R- R- H H R- R+ R- K K K R+ R- K K K R- H K K H R+ R- H H H R+,0.5261926237166341,2.156100519114089,1.9981006507865797,0.31777777777777777,4
torus_2_5,deform_04,R- R- H H R- R+ K K R+ R+ R+ R- K K R+ R- R- K K H R+ K K H R+ R+,0.5864458650166723,2.2831604550338707,2.2908455935160505,0.27555555555555555,8
torus_2_5,deform_05,R- H H R- R- R+ R- K K R+ R+ K K K K R- H K K R+ R+ R- K H H R+,0.5670809726088903,2.1699317913731737,2.2859203973956506,0.31222222222222223,4
torus_3_4,base,R+ H K K K R+ R+ R+ H K H H M R+ K K H K R- R- R+ K K K H R-,0.511548694079998,1.3444242668110922,2.077636692667404,0.33,0
torus_3_4,deform_00,R+ R- K K K K R+ K H K H H M R+ K K H K K R- K K K K H R-,0.5494924894382887,1.3953758074293607,2.1505578539843855,0.33,5
torus_3_4,deform_01,R+ H K K K R+ R+ R- R- K H H R- R+ K H H K K R- K K K K R+ K,0.5888993479046095,1.376584633811809,2.196455240483091,0.33,8
torus_3_4,deform_02,R+ R- K K K K R+ R+ H K H H M R+ K K H K R- R- R+ K K K R+ R-,0.5863811120980539,1.4595001072043248,2.1589068628667554,0.33,3
torus_3_4,deform_03,R+ R- K K K K R+ K H K H R+ R- R+ R+ K H K K R- K K K K R+ R-,0.552379777393958,1.445733888840866,2.159511400522407,0.33,9
torus_3_4,deform_04,R+ H K K K R+ R+ R+ H K K R+ R- R+ R+ H H K K R- R- K K K H R-,0.6089185835854092,1.515005849354393,2.3203514611439138,0.33,7
torus_3_4,deform_05,R- R- K K K K R+ K H K K S R- R+ R+ K H K K R- K K K K R+ R+,0.5713130474416149,1.531061968891031,2.281695231515292,0.33,12
